"V3_item_resource.item","V3_item_resource.resource","V3_item_resource.year","V3_item_resource.res_unit_gdp_mean","V3_item_resource.res_unit_gdp_std","V3_item_resource.res_unit_gdp_stddev","V3_item_resource.res_unit_gdp_stddev_pop","V3_item_resource.res_unit_gdp_stddev_samp","V3_item_resource.c_kg_val","V3_item_resource.c_gdp_val","V3_item_resource.c_gdp_pp_yr","V3_item_resource.c_kg_pp_yr"
"AVO","CO2","2014","0.7186999917030334","0.2046000063419342","0.2046000063419342","0.2046000063419342","0.25060001015663147",\N,\N,\N,\N
"AVO","WAT","2014","1085","85","85","85","120.20819854736328",\N,\N,\N,\N
"COW","CO2","2014","29.95330047607422","2.1396000385284424","2.1396000385284424","2.1396000385284424","2.6203999519348145",\N,\N,\N,\N
"COW","WAT","2014","15298.5","214.67239379882812","214.67239379882812","214.67239379882812","247.8824005126953",\N,\N,\N,\N
"CPE","CO2","2014","0.71670001745224","0.09740000218153","0.09740000218153","0.09740000218153","0.1193000003695488",\N,\N,\N,\N
"CPE","WAT","2014","4079","79","79","79","111.722900390625",\N,\N,\N,\N
"MIL","CO2","2014","0.8600000143051147","0.3237999975681305","0.3237999975681305","0.3237999975681305","0.39660000801086426",\N,\N,\N,\N
"MIL","WAT","2014","1010","10","10","10","14.14210033416748",\N,\N,\N,\N
"PER","CO2","2014","0.6549999713897705","0.22499999403953552","0.22499999403953552","0.22499999403953552","0.3181999921798706",\N,\N,\N,\N
"PER","WAT","2014","911","89","89","89","125.86499786376953",\N,\N,\N,\N
"WHT","CO2","2014","0.637499988079071","0.3467000126838684","0.3467000126838684","0.3467000126838684","0.4004000127315521",\N,\N,\N,\N
"WHT","WAT","2014","1466.666748046875","124.7219009399414","124.7219009399414","124.7219009399414","152.75250244140625",\N,\N,\N,\N
