"V3_item_resource_stats.id","V3_item_resource_stats.item","V3_item_resource_stats.resource","V3_item_resource_stats.year","V3_item_resource_stats.unit_gdp","V3_item_resource_stats.src"
"1","AVO","CO2","2014",\N,"src-1"
"2","AVO","CO2","2014","0.4300000071525574","src-2"
"3","AVO","CO2","2014","0.8799999952316284","src-3"
"4","AVO","CO2","2014",\N,"src-4"
"5","AVO","CO2","2014","0.8460000157356262","src-5"
"6","AVO","CO2","2014",\N,"src-6"
"7","COW","CO2","2014","30.860000610351562","src-1"
"8","COW","CO2","2014",\N,"src-2"
"9","COW","CO2","2014","32","src-3"
"10","COW","CO2","2014",\N,"src-4"
"11","COW","CO2","2014",\N,"src-5"
"12","COW","CO2","2014","27","src-6"
"13","CPE","CO2","2014",\N,"src-1"
"14","CPE","CO2","2014","0.7699999809265137","src-2"
"15","CPE","CO2","2014","0.800000011920929","src-3"
"16","CPE","CO2","2014","0.5799999833106995","src-4"
"17","CPE","CO2","2014",\N,"src-5"
"18","CPE","CO2","2014",\N,"src-6"
"19","MIL","CO2","2014","0.41999998688697815","src-1"
"20","MIL","CO2","2014","1.190000057220459","src-2"
"21","MIL","CO2","2014",\N,"src-3"
"22","MIL","CO2","2014","0.9700000286102295","src-4"
"23","MIL","CO2","2014",\N,"src-5"
"24","MIL","CO2","2014",\N,"src-6"
"25","PER","CO2","2014",\N,"src-1"
"26","PER","CO2","2014","0.4300000071525574","src-2"
"27","PER","CO2","2014","0.8799999952316284","src-3"
"28","PER","CO2","2014",\N,"src-4"
"29","PER","CO2","2014",\N,"src-5"
"30","PER","CO2","2014",\N,"src-6"
"31","WHT","CO2","2014","0.14000000059604645","src-1"
"32","WHT","CO2","2014","0.6299999952316284","src-2"
"33","WHT","CO2","2014","0.6600000262260437","src-3"
"34","WHT","CO2","2014","1.1200000047683716","src-4"
"35","WHT","CO2","2014",\N,"src-5"
"36","WHT","CO2","2014",\N,"src-6"
"41","AVO","WAT","2014",\N,"src-1"
"42","AVO","WAT","2014",\N,"src-2"
"43","AVO","WAT","2014",\N,"src-3"
"44","AVO","WAT","2014","1170","src-4"
"45","AVO","WAT","2014","1000","src-5"
"46","AVO","WAT","2014",\N,"src-6"
"47","COW","WAT","2014","15500","src-1"
"48","COW","WAT","2014","15415","src-2"
"49","COW","WAT","2014","14940","src-3"
"110","COW","WAT","2014","15339","src-4"
"111","COW","WAT","2014",\N,"src-5"
"112","COW","WAT","2014",\N,"src-6"
"113","CPE","WAT","2014",\N,"src-1"
"114","CPE","WAT","2014",\N,"src-2"
"115","CPE","WAT","2014",\N,"src-3"
"116","CPE","WAT","2014","4158","src-4"
"117","CPE","WAT","2014","4000","src-5"
"118","CPE","WAT","2014",\N,"src-6"
"119","MIL","WAT","2014","1000","src-1"
"120","MIL","WAT","2014","1020","src-2"
"121","MIL","WAT","2014",\N,"src-3"
"122","MIL","WAT","2014",\N,"src-4"
"123","MIL","WAT","2014",\N,"src-5"
"124","MIL","WAT","2014",\N,"src-6"
"125","PER","WAT","2014",\N,"src-1"
"126","PER","WAT","2014","822","src-2"
"127","PER","WAT","2014",\N,"src-3"
"128","PER","WAT","2014",\N,"src-4"
"129","PER","WAT","2014","1000","src-5"
"130","PER","WAT","2014",\N,"src-6"
"131","WHT","WAT","2014","1300","src-1"
"132","WHT","WAT","2014",\N,"src-2"
"133","WHT","WAT","2014",\N,"src-3"
"134","WHT","WAT","2014",\N,"src-4"
"135","WHT","WAT","2014","1600","src-5"
"136","WHT","WAT","2014","1500","src-6"
